A;;;AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA
;;;Excluye: La producción de pieles y cueros sin curtir como parte de las actividades de los mataderos, se incluye en la clase 1511 (Producción de carne y de productos cárnicos.)
;;;La fabricación de prendas de vestir de cuero se incluye en la clase 2010 (Fabricación de prendas de vestir, excepto prendas de piel).
;;;El curtido y adobo de pieles finas y cueros sin depilar se incluye en la clase 2011 (Adobo y teñido de pieles, fabricación de prendas de piel).
;;2112;Fabricación de artículos de cuero y de piel
;;;En esta clase se incluye la fabricación de maletas, bolsos de mano y artículos de talabartería y guarnicionería, así como otros artículos de cuero natural y cuero regenerado no clasificados en otra parte.
;;;También se incluye la fabricación de maletas, bolsos y artículos similares confeccionados con otros materiales (generalmente cueros de imitación), como plástico, materias textiles, fibras vulcanizadas y cartón.
;;;Excluye: La fabricación de prendas de vestir y sombreros de cuero se incluye en la clase 2010 (Fabricación de prendas de vestir, excepto prendas de piel).
;;;La fabricación de calzado se incluye en la clase 2120 (Fabricación de calzado).
;;;La reparación de  estos artículos de cuero se incluye en la clase 5360 (Reparación de efectos personales y enseres domésticos).
;;2120;Fabricación de calzado
;;;En  esta clase se incluye la fabricación de calzado para todo uso (excepto el calzado ortopédico) de cualquier material (excepto el asbesto u otro material textil sin suela aplicada), mediante cualquier proceso, incluido el moldeado.
;;;Las materias primas pueden ser cuero, caucho, plástico, materiales textiles, madera y otros materiales, y los proceso de fabricación pueden consistir en corte y costura, engomado, moldeado o cualquier otro proceso.
;;;También se incluye la fabricación de botines, polainas, artículos similares, y de partes del calzado, tales como capelladas y partes de capelladas, suela y plantillas, etc., de todo tipo de material.
;;;Excluye: La fabricación de calzado de material textil sin suela aplicada se incluye en la clase 1929 (Fabricación de tejidos y artículos de punto y ganchillo).
;;;La fabricación de calzado de asbesto se incluye en la clase 3099 (Fabricación de otros productos minerales no metálicos n.c.p.)
;;;La fabricación de calzado ortopédico se incluye en la clase 3711 (Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos).
;;;La reparación de  calzado  se incluye en la clase 5360 (Reparación de efectos personales y enseres domésticos).
;22;;PRODUCCIÓN   DE   MADERA   Y   FABRICACIÓN    DE PRODUCTOS  DE  MADERA
;;2210;Aserrado de madera
;;;En esta clase se incluye el funcionamiento de aserraderos y talleres de acepilladura, sean o no móviles, en bosques y otros lugares.  Aserrado de madera en bruto constituida por troncos y trozas y aserrado de trozos escuadradas y acepilladura costeros para producir maderos.
;;;Acepilladura y aserrado,  en combinación o por separado, para producir troncos y maderos desbastados, y piezas o cortes corrientes. Tableado, descortezado y desmenuzamiento de troncos.
;;;También se incluyen la impregnación y el tratamiento químico de la madera con preservativos y otras sustancias.
;;;Fabricación de lana de madera, harina de madera y partículas de maderos, cuando consisten en una   actividad   primaria.   Fabricación  de  traviesas   de   madera   (durmientes   para   vías férreas).   Fabricación   de   tabletas   para la ensambladura de pisos de madera, incluso pisos de entarimado.
;;;Excluye: La extracción y producción de madera en bruto (descortezada y simplemente escuadrada) se incluye en la clase 0500 (Silvicultura  extracción de madera y actividades conexas).
;;;La fabricación de hojas de madera para enchapado suficientemente delgadas para producir madera contrachapada, tableros y paneles se incluye en la clase 2221 (Fabricación de madera artificial).
;;;La fabricación de tejas, ripias, boceles, y artículos similares de madera se incluye en la clase 2222 (Fabricación de partes y piezas de carpintería).
;;2221;Fabricación de madera artificial
;;;En esta clase se incluye la fabricación de hojas de madera para enchapado suficientemente delgada para producir madera enchapada y tableros contrachapados y para otros fines.
;;;Las hojas pueden obtenerse mediante aserrado, rebanado y desenrollo (mondadura) y pueden estar alisadas, teñidas, bañadas e impregnadas, o reforzadas con papel o tela, o cortadas en figuras.
;;;También se incluyen la fabricación de tableros contrachapados, tableros de madera enchapada y otros productos similares de madera laminada, y la fabricación de tableros de partículas de fibra.
;;;La fabricación de estos productos se caracteriza por la utilización de prensas de alta presión y colas, en combinación o por separado. La producción de madera compacta también se incluye en esta clase.
;;;Excluye: La fabricación de madera rebanada o desenrollada de un espesor mayor que la que se utiliza en los tableros contrachapados, se incluye en la clase 2210 (Aserrado de madera).
;;2222;Fabricación de partes y piezas de carpintería
;;;En esta clase se incluye la fabricación de productos de madera utilizados principalmente por la industria de la construcción. Se obtiene una gran variedad de productos, tales como:
;;;- Maderaje, incluso vigas, cabios, jabalcones y productos similares que se utilizan con fines estructurales y en el   sustentamiento de vanos, andamios y otros apeos provisionales.
;;;- Partes y piezas de carpintería, incluso puertas, ventanas, contraventanas y sus marcos, tengan o no herrajes,   como bisagras, cerraduras, etc., escaleras, pórticos, barandales, etc. bloques, listones, etc. ensamblados en    tableros para pisos de entarimado.
;;;- Doseles y molduras de madera, tableros de madera celular arrimadillos y armarios empotrados.
;;;También se incluye la fabricación de piezas no ensambladas de estos productos. 
;;;Instalación de partes y piezas de carpintería de  fabricación propia.
;;;Se incluye la producción de componentes de edificios prefabricados principalmente de madera.
;;;Excluye: La fabricación de tabletas para la ensambladura de pisos de madera, incluso pisos de entarimado, se incluye en la clase 2210 (Aserrado de madera).
;;;La fabricación de persianas venecianas y de armarios de cocina, bibliotecas, roperos y otros muebles empotrados se incluye en la clase 2229 (Fabricación de otros productos de madera, corcho y materiales trenzables).
;;2223;Fabricación de envases de madera 
;;;En esta clase se incluye la fabricación de cajas, cajones, jaulas, barriles y envases similares de madera, carretes de madera, paletas, paletas-caja y otras bandejas de madera para operaciones de  carga.
;;;Fabricación de madera de toneles, barricas, cubas, tinas y  demás  productos de tonelería y sus partes (incluso duelas).
;;;Excluye: La fabricación de maletas de madera no revestidas con otro material y la fabricación de recipientes de materiales trenzables se incluye en la clase 2229 (Fabricación de otros productos de madera, corcho y materiales trenzables).
;;2229;Fabricación  de  otros   productos  de madera, corcho y materiales trenzables
;;;En esta clase se incluye la fabricación de productos de madera no clasificados en otra parte, tales como herramientas, monturas y mangos de cepillos o escobas  hormas y tensores para botas y zapatos  estatuillas y otros adornos  perchas para ropa  artículos de marquetería, estuches y artículos similares  utensilios de cocina y para uso doméstico  artículos de moblaje del tipo aplique, como percheros para ropas y sombreros, pero no muebles en pie.
;;;Fabricación de marcos de madera para cuadros, espejos u objetos análogos  carretes, tapas y artículos similares de madera torneada.
;;;Fabricación de otros artículos de madera no clasificados en otra parte.
;;;Fabricación de artículos de corcho natural y corcho aglomerado.
;;;Fabricación de trenzas y artículos similares de materiales trenzables ya sean de forma plana o trabajadas de manera de darle forma definitiva como cestos, artículos de mimbre, etc.
;;;Excluye:   La fabricación de esteras y esterillas de materiales textiles se incluye en la clase 1921 (Fabricación de productos textiles).
;;;La fabricación de maletas y cajas de madera revestidas de otro material se incluye en la clase 2112 (Fabricación de artículos de cuero y de piel). 
;;;La fabricación de calzado y de partes de calzado se incluye en la clase 2120 (Fabricación de calzado).
;;;La fabricación de lámparas y accesorios para la iluminación se incluye en la clase 3530 (Fabricación de alambres y cables aislados).
;;;La  fabricación de muebles se incluye en la clase 3910 (Fabricación de muebles).
;;;La fabricación de joyas de fantasía, y la de bastones y mangos de madera para paraguas se incluye en la clase 3990 (Otras industrias manufactureras n.c.p.)
;23;;FABRICACIÓN  DE  PAPEL  Y  DE  PRODUCTOS  DE  PAPEL
;;2301;Fabricación de pulpa de madera, papel y cartón
;;;En esta clase se incluye la fabricación de pulpa de madera: proceso físico, químico (soluble o no soluble  blanqueado, semiblanqueado y sin blanquear) y semiquímico. Fabricación de pastas  y otras materias, celulósicas fibrosas mediante procesos físicos, químicos y semiquímicos.
;;;Se incluye la fabricación de pulpa de desechos de papel.
;;;Fabricación de papel y cartón sin revestir y revestido a máquina, en rollos y en hojas.
;;;Fabricación de papel de periódico y de otros papeles para imprimir y escribir  papeles bastos para la producción de toallas, servilletas, pañuelos, etc., guata de celulosa y tiras de fibras de celulosa, papeles para envolver y acolchar y fabricar cigarrillos.
;;;Fabricación de papeles de pergamino vegetal, papeles impermeables a la grasa, papeles de calcar y otros papeles satinados transparentes y traslúcidos.
;;;Fabricación de papel y cartón multiláminas. Reelaboración de papel y cartón para fabricar productos tales como papel revestido, recubierto e impregnado, papel rizado y plegado, papel y cartón compuesto (por ejemplo: papel laminado con betún u otra sustancia adherente).
;;;Excluye: La fabricación de papel y cartón ondulado se incluye en la clase 2302  (Fabricación de papel y cartón ondulado y de envases de papel y cartón).
;;;La  fabricación de otros artículos de pasta de madera, papel y cartón se incluye en la clase 2309 (Fabricación de otros artículos de papel y cartón).
;;;La fabricación de papel abrasivo se incluye en  la clase 3099 (Fabricación de otros productos minerales no metálicos n.c.p.)
;;2302;Fabricación  de  papel  y  cartón ondulado y de envases de papel y cartón
;;;En esta clase se incluye la fabricación de:
;;;- Papel y cartón ondulado
;;;- Envases de papel y de cartón ondulado
;;;- Cajones, cajas, y estuches, armados o plegados, de papel y cartón no ondulado
;;;- Sacos y bolsas
;;;- Otros envases incluso fundas  para discos y artículos similares
;;;Excluye:  La fabricación de sobres se incluye en la clase 2309 (Fabricación de otros artículos de papel y cartón)
;;2309;Fabricación de otros artículos de papel y cartón
;;;En esta clase se incluye la fabricación de: papel carbón, papel de autocopia y otros papeles para copiar o transferir, en tamaños y cantidades adecuados para la venta al consumidor, sobres, aerogramas, esquelas y tarjetas postales en blanco que contienen un surtido de papel para correspondencia.
;;;Papel higiénico, toallas, servilletas y otros artículos similares de papel, cartón y papel moldeado para uso doméstico, como por ejemplo platos y vasos  toallas higiénicas, y otros artículos de papel para uso personal.
;;;Otros artículos de papel y cartón  papel y cartón de filtro, papel para escribir y otros usos gráficos cortados en distintos tamaños y formas, e impreso, perforado  papel engomado y adhesivo, en cintas y rollos  etiquetas.
;;;Excluye: La fabricación de papel y cartón en bruto, en rollos y hojas, se incluye en la clase 2301 (Fabricación de pulpa de madera, papel y cartón.
;24;;ACTIVIDAD DE EDICIÓN E IMPRESIÓN Y REPRODUCCIÓN   DE GRABACIONES
;;2411;Edición de libros, folletos, partituras y otras publicaciones
;;;En esta clase se incluye la edición de libros en general, incluso libros de texto, atlas y mapas, folletos, partituras y otras publicaciones.
;;2412;Edición de periódicos, revistas y publicaciones periódicas
;;;En esta clase se incluye la edición de periódicos, revistas y publicaciones periódicas de contenido técnico y general, revistas técnicas, revistas humorísticas, etc.
;;2413;Edición de grabaciones
;;;Esta clase incluye la edición de materiales grabados en discos gramofónicos y otros medios de reproducción sonora.
;;;Excluye:  La edición de filmes y vídeo cintas se incluye en  la clase 9411 (Producción y distribución de filmes y vídeo cintas) y la de programas de informática en la clase 7010 (Consultores en equipos y programas de informática)
;;2419;Otras actividades de edición
;;;En esta clase se incluye  sellos de correos, tarjetas postales y de felicitación, material de publicidad, grabados y otros impresos.  También se incluyen todas las actividades de microedición.
;;2421;Actividades de impresión y de servicios relacionados con la impresión
;;;En esta clase abarca la impresión para terceros, a cambio de una retribución o por contrata, de periódicos, revistas, publicaciones periódicas, revistas especializadas, y libros de registros de contabilidad, agendas y artículos análogos, además partituras, mapas, atlas, carteles y otros artículos  por ejemplo: sellos postales, timbres fiscales  libros, albúmenes, formularios comerciales, etc.
;;;También se incluye la reproducción de material mediante máquinas reproductoras, incluso las controladas por computadoras, así como fotocopiadoras.
;;;Incluye también la encuadernación y la producción de caracteres de imprenta compuestos, planchas y cilindros de impresión preparados para las artes gráficas, piedras litográficas y otros medios impresos de reproducción para su utilización en otras unidades.
;;;Excluye: La impresión de etiquetas de papel y cartón se incluye en la clase 2309 (Fabricación de otros artículos de papel y cartón).
;;;Las actividades de edición se incluyen en la clase 2411 (Edición de libros, folletos, partituras y otras publicaciones)  2412 (Edición de periódicos, revistas y publicaciones periódicas)  2413 (Edición de grabaciones) y 2419  (Otras actividades de edición), según la actividad de que se trate.
;;;La producción de material original por autores, compositores, ingenieros, arquitectos y otros profesionales y artistas se incluye en la industria que abarque la actividad técnica o artística de que se trate.
;;;La fabricación de tipos móviles y de cajas tipográficas se incluye en la clase 3429 (Fabricación de otros tipos de maquinaria de uso especial).
;;;La fabricación de medios de impresión no impresos se incluye en la clase correspondiente al material de que se trate.
;;2430;Reproducción de grabaciones
;;;Esta clase incluye la reproducción de discos gramofónicos, cintas magnetofónicas, videocintas y cintas de computadora a partir de grabaciones originales, la reproducción de discos flexibles, duros y compactos de computadora y la duplicación de filmes.
;;;Excluye:  La reproducción de material impreso se incluye en la clase 2421 (Actividades de impresión y de servicios relacionadas con la impresión)
;;;La fabricación a cambio de una retribución o por contrata de productos intermedios, como matrices de discos gramofónicos, se incluye en la clase 9439 (Otras actividades de recreación cultural).
;25;;FABRICACIÓN  DE  PRODUCTOS  DE  LA  REFINACIÓN  DEL  PETRÓLEO
;;2500;Fabricación de productos de la refinación del petróleo 
;;;En esta clase se incluye la producción de combustibles líquidos y gaseosos, por ejemplo  gasolina para motores etano, butano, propano, aceites de alumbrado, aceites y grasas  lubricantes y otros productos a partir del petróleo crudo y de minerales bituminosos, incluso productos de su fraccionamiento.
;;;Se incluye la fabricación de gases de petróleo y otros hidrocarburos gaseosos, excepto gas natural. Además se incluye la fabricación de vaselina, cera de parafina, otras ceras de petróleo y productos residuales, tales como coque de petróleo, betún de petróleo, etc.
;;;Excluye: La explotación de yacimientos de petróleo y gas para obtener petróleo crudo y gas natural se incluye en la clase 1010 (Extracción de petróleo crudo y de gas natural).
;26;;FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS Y PRODUCTOS BOTÁNICOS
;;2600;Fabricación de productos  farmacéuticos y productos botánicos
;;;En esta clase se incluye:
;;;- Fabricación de preparados farmacéuticos para uso médico y veterinario: preparados genéricos y de marca   registrada   preparados  al  alcance del público general y de distribución reglamentada por las autoridades  sanitarias  ampollas, tabletas, cápsulas, ampolletas, ungüentos, polvos y soluciones  productos botánicos   pulverizados, graduados, molidos o preparados de otro modo.
;;;- Fabricación de productos farmacéuticos y veterinarios de base biotecnológica e ingeniería genética.
;;;- Fabricación de apósitos quirúrgicos, guatas medicinales, vendajes para fracturas, catgut y otros productos   para suturas.
;;;- Fabricación de cementos dentales.
;;;- Fabricación de sustancias químicas utilizadas en la fabricación de productos farmacéuticos: antibióticos, productos endocrinos, vitaminas básicas, derivados del opio, sulfamidas   sueros y plasmas  ácido salicílico y sus sales y éteres  glucósidos y alcaloides vegetales, azúcar químicamente pura, etc.
;;;Excluye: El envase y empaque de productos farmacéuticos por cuenta propia se incluye en la clase 5131 (Venta mayorista de otros enseres domésticos), o la clase 5331 (Venta minorista de productos farmacéuticos y medicinales) y el envase y empaque a cambio de una retribución o por contrata se incluye en la clase 7290 (Actividades empresariales n.c.p.)
;27;;FABRICACIÓN DE FERTILIZANTES Y COMPUESTOS DE NITRÓGENO
;;2700;Fabricación de fertilizantes y compuestos de nitrógeno
;;;Esta clase abarca la fabricación de abonos nitrogenados, fosfatos y potásicos puros, mixtos, compuestos y complejos. Se incluye la fabricación de urea. Fabricación de productos de la industria de abonos nitrogenados: ácido nítrico, amoniaco, cloruro de amonio comercial y nitrato de potasio.
;;;Excluye: La recolección de guano se incluye en la clase 1329 (Explotación de otras minas y canteras n.c.p.) La fabricación de plaguicidas y otros productos químicos para el sector agropecuario se incluye en la clase 2821 (Fabricación de plaguicidas y otros productos químicos de uso agropecuario).
;28;;FABRICACIÓN DE OTRAS SUSTANCIAS Y PRODUCTOS QUÍMICOS
;;2811;Fabricación de sustancias químicas básicas, excepto fertilizantes
;;;En esta clase se incluye la fabricación de:
;;;- Gases industriales, incluso gases elementales, aire líquido y aire comprimido, acetileno, gases  refrigerantes,    mezclas de gases industriales, etc. 
;;;- Otros elementos químicos, excepto metales comunes, metales preciosos y elementos, isótopos y compuestos   radioactivos para combustible nuclear.
;;;- Ácidos inorgánicos, excepto ácido nítrico
;;;- Álcalis y otros compuestos inorgánicos, como pigmentos inorgánicos.
;;;- Sustancias químicas orgánicas básicas: hidrocarburos cíclicos y acíclicos saturados y no saturados, benceno,   tolueno,  xileno  y  otros  productos  de  la  destilación  de  alquitrán  de  hulla y de aceite mineral  alcoholes    acíclicos,  fenoles  y  fenoles-alcoholes,  metanol  y  alcoholes superiores (excepto alcohol etílico)  cetonas  y    quinonas  ácidos monocarboxílicos y policarboxílicos, incluso ácido acético, compuestos de función amina     compuestos de función nitrilo y otros compuestos orgánicos.
;;;- Carbón vegetal.
;;;- Materias colorantes de origen vegetal y animal, colorantes orgánicos sintéticos.
;;;- Extracción de productos volátiles mediante destilación de la madera
;;;- Extractos tintóreos y curtientes, tanino y sus derivados.
;;;- Lejías y otras sustancias químicas básicas no clasificadas en otra parte.
;;;- Sales metálicas y peroxisoles de ácidos inorgánicos.
;;;Excluye: La extracción de metano, etano, butano y propano en el yacimiento se incluye en la clase 1010 (Extracción de petróleo crudo de gas natural). 
;;;La producción de alcohol etílico se incluye  en la clase 1701 (Producción de alcohol  elaboración de bebidas alcohólicas).
;;;La producción de etano, butano y propano en la refinería de petróleo se incluye en la clase 2500 (Fabricación de productos de la refinación de petróleo).
;;;La fabricación de abonos nitrogenados y compuestos de nitrógeno, se incluye en la clase  2700 (Fabricación de fertilizantes y compuestos de nitrógeno), aún cuando esos productos no sean utilizados como abono. 
;;;La fabricación de glicerina cruda se incluye en la clase 2824 (Fabricación de productos de jabonería y perfumería)
;;;La fabricación de petróleo en formas primarias y de caucho sintético se incluye en la clase 2830 (Fabricación de plásticos en forma primaria y de caucho sintético).
;;;La fabricación de aceites esenciales se incluye en la clase 2831 (Fabricación de otros productos químicos n.c.p.)
;;2821;Fabricación de plaguicidas y otros productos químicos de uso agropecuario
;;;En esta clase se incluye la fabricación de insecticidas, raticidas, fungicidas, herbicidas, productos  antigerminantes, reguladores del crecimiento de las plantas, desinfectantes y otros productos químicos para uso agropecuario no clasificados en otra parte.
;;;Excluye: La fabricación de abonos y compuestos de nitrógeno se incluye en la clase 2700 (Fabricación de fertilizantes y compuestos de nitrógeno).
;;2822;Fabricación de pinturas, barnices y productos de revestimiento similares,   tintas de imprenta y masillas
;;;En esta clase se incluye la fabricación de:
;;;- Pinturas, barnices, esmaltes y lacas
;;;- Pigmentos preparados, opacificantes preparados y colores preparados, esmaltes vitrificables, y barnices para vidriar,  enlucidos  cerámicos,  preparados  similares  utilizados  en  la industria de la cerámica, los  esmaltes y el   vidrio.
;;;- Pigmentos y otras materias colorantes del tipo utilizado en la fabricación de pinturas
;;;- Masillas, compuestos para calafatear y preparados similares no refractarios para relleno y enlucido.
;;;- Disolventes y diluyentes compuestos y orgánicos no clasificados en otra parte. Removedores de pintura y   barniz preparados.
;;;Excluye:  La fabricación de materias tintóreas y colorantes para teñir y  de pigmentos, tales como óxido de titanio, compuestos de cromo, cadmio y otros compuestos químicos que contienen colores  se incluye en la clase 2811 (Fabricación de sustancias químicas básicas, excepto fertilizantes).
;;;La fabricación de tintas para escribir y dibujar se incluye en la clase 2831 (Fabricación de otros productos químicos n.c.p.)
;;2824;Fabricación de productos de jabonería y perfumería
;;;En esta clase se incluye la fabricación de:
;;;- Jabón en diversas formas (barras, pastillas, líquidos, etc.). Glicerina cruda.
;;;- Agentes y preparados para lavar y limpiar.
;;;- Preparados de peluquería, incluso champús, lacas para el cabello, preparados para ondular y alisar el    cabello,    preparados para antes y después de afeitarse y preparados depilatorios.
;;;- Preparados aromáticos de uso personal, como perfumes, aguas de colonia y aguas de tocador.
;;;- Preparados de belleza y de maquillaje, incluso preparados para manicure y pedicure.
;;;- Preparados para la higiene bucal  y dental.
;;;- Otros preparados de perfumería, cosméticos y de tocador no clasificados en otra parte, tales como   desodorantes, sales de baño y otros preparados de uso personal.
;;;- Betunes y cremas para el calzado, bruñidores y cremas para pisos, carrocerías, vidrio y metal, pastas y   polvos  abrasivos y productos similares en forma de papel.
;;;- Ceras  artificiales y ceras preparadas que se componen en mezclas de ceras.
;;;- Preparados para perfumar y desodorizar ambientes.
;;;Excluye: La fabricación de compuestos separads definidos os os os definidos químicamente se incluye en la clase 2811 (Fabricación de sustancias químicas básicas, excepto fertilizantes).
;;;La extracción y refinación de aceites esenciales se incluye en la clase 2831 (Fabricación de otros productos químicos n.c.p.)
;;2829;Fabricación de fibras manufacturadas 
;;;En esta clase se incluye  la fabricación de fibras discontinuas y estopas de filamento artificial o sintético, sin cardar ni peinar.
;;;Fabricación de hilados de filamento sintético o artificial, tejidos o no, de gran resistencia, múltiples o cableados.
;;;Fabricación de fibras o hebras sintéticas o artificiales sin filamento, por ejemplo: paja artificial.
;;;Excluye:  La fabricación de hilados con fibras discontinuas manufacturadas y  la fabricación de hilados tejidos, doblados, cableados o procesados de otra manera a partir de filamentos, estopas, fibras discontinuas e hilados no producidos en la misma unidad  se incluye en la clase 1911 (Preparación y elaboración de hilazas  tejidos planos).
;;2830;Fabricación de plásticos en forma primaria y de caucho sintético
;;;Esta clase incluye la fabricación de productos plásticos en formas primarias, incluso polímeros de etileno, de polipropileno y de otras olefinas, de estiroleno, de cloruro de vinilo y otras olefinas halogenadas, de acetato de vinilo y de otros ésteres de vinilo, y otros polímeros de vinilo, poliacetales, otros poliéteres y resinas epoxídicas, policarbonatos, resinas alquídicas, ésteres de polialilo y otros poliésteres, polioamidas  aminorresinas, resinas fenólicas y poliuretanos  siliconas  resinas de petróleo, politerpenos, polisulfuros, polisulfonas  celulosa y sus derivados químicos  polímeros naturales (por ejempl, ácido algínico), polímeros naturales modifi     o, ácido algínico), polímeros naturales modificados, tales como proteínas endurecidas  e intercambiadores de iones basados en los polímeros ante dichos. Fabricación de caucho  sintético y de sucedáneos de caucho a partir de aceites, en formas primarias. Producción de mezclas de caucho sintético y caucho natural y de gomas similares al caucho (por ejemplo, balata) en formas primarias.
;;2831;Fabricación de otros productos químicos n.c.p.
;;;Esta clase incluye la fabricación de:
;;;- Explosivos,  productos  pirotécnicos  (antorchas,  artículos   encendedores y productos similares),   pólvoras   propulsoras, otros preparados explosivos,  mechas detonadoras y de seguridad, cápsulas, fuegos artificiales,   bengalas de señales y artículos similares.
;;;- Gelatina y derivados de la gelatina, colas de origen animal y otros adhesivos preparados, incluso adhesivos   preparados a base de caucho y plástico.
;;;- Pastas para modelar.
;;;- Compuestos y preparados de uso odontológico
;;;- Peptonas y sus derivados, otras sustancias proteicas y sus derivados no clasificados en otra parte.
;;;- Aceites esenciales. Modificación mediante procesos químicos (por ejemplo, oxidación, polimerización, etc.) de   aceites y grasas.
;;;- Materiales para el acabado de productos textiles.
;;;- Polvos y pastas para soldadura blanda, dura y autógena.
;;;- Sustancias para el decapado de metales.
;;;- Carbón activado, aditivo para aceites lubricantes, preparados para acelerar la vulcanización del caucho,   catalizadores y otros productos químicos de uso industrial.
;;;- Preparados antidetonantes, preparados anticongelantes, líquidos para transmisiones hidráulicas, reactivos   compuestos para diagnósticos  y de laboratorio, etc.
;;;- Productos fotoquímicos, como placas fotográficas, películas, papel sensibilizado, otros materiales    sensibilizados   sin  impresionar y preparados químicos de uso fotográfico.
;;;- Tintas para escribir y dibujar.
;;;- Materiales vírgenes de reproducción para grabaciones sonoras y de otro tipo.
;;;- Sal procesada.
;;;- Placas y películas fotográficas.
;;;Excluye: En general la fabricación a granel de productos definidos químicamente se incluye en la clase 2811 (Fabricación de sustancias químicas básicas, excepto fertilizantes).
;;;La fabricación de tinta de imprenta se incluye en la clase 2822 (Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas).
;29;;FABRICACIÓN DE PRODUCTOS DE CAUCHO Y DE PLÁSTICO
;;2910;Fabricación de neumáticos y cámaras  recapado
;;;Esta clase abarca la fabricación de neumáticos nuevos y el recauchado de cubiertas de caucho para vehículos, incluso cubiertas para equipo y maquinaria móvil. Fabricación de cubiertas neumáticas, sólidas y mullidas.
;;;Fabricación de cubiertas para vehículos y equipos distintos de los de circulación por carretera, como aeronaves y topadoras y para juguetes, muebles y otros usos.
;;;Fabricación de cámaras para las cubiertas descritas anteriormente. Fabricación de partes de cubiertas, tales como bandas  de voladura, intercambiables y tapas de protección de la cámara.
;;;Fabricación de tiras de remiendos para recauchar cubiertas.
;;;Renovación de cubiertas. Sustitución de bandas de rodadura en cubierta de neumáticos usados.
;;;Excluye: La fabricación de materiales para la reparación de cámaras se incluye en la clase 2915 (Fabricación de otros productos de caucho). La reparación de pinchaduras de neumáticos se incluye en la clase 5040 (Mantenimiento y reparación de vehículos automotores).
;;2915;Fabricación de otros productos de caucho
;;;En esta clase se incluye la fabricación de productos de caucho no clasificados en otra parte. Fabricación de productos de caucho acabados y semiacabados, productos de caucho endurecido, vulcanizado y sin vulcanizar, productos constituidos en todo o en parte por caucho natural o sintético o por gomas parecidas al caucho.
;;;Entre la gran variedad de actividades de esta clase se incluye la fabricación de planchas, láminas, tiras, varillas y perfiles  tubos, caños y mangueras  correas y cintas transportadoras y de transmisión  artículos higiénicos y farmacéuticos  artículos de vestuario  etc.
;;;Excluye: La fabricación de ropa de tejidos elásticos se incluye en la clase 2010 (Fabricación de prendas de vestir, excepto prendas de piel). La fabricación de calzado se incluye en la clase 2120 (Fabricación de calzado). La fabricación de tiras de remiendo para recauchar cubiertas se incluye  en la clase 2910 (Fabricación de neumáticos y cámaras  recapado).
;;;La fabricación de artículos de uso médico, dental y quirúrgico se incluye en la clase 3711 (Fabricación de equipos médico y quirúrgico y de aparatos ortopédicos).
;;;La fabricación de instrumentos científicos se incluye en la clase 3712 (Fabricación de instrumentos y aparatos de precisión) excepto equipo de control de procesos industriales.
;;;La fabricación de colchones de caucho celular no enfundados se incluye en la clase 3910 (Fabricación de muebles).
;;;La fabricación de accesorios deportivos se incluye en la clase 3930 (Fabricación de artículos deportivos)
;;;La fabricación de juegos y juguetes se incluye en la clase 3940 (Fabricación de juegos y juguetes).
;;;La producción de caucho regenerado se incluye en la clase 3960 (Reciclamiento de desperdicios y desechos no metálicos).
;;2920;Fabricación de productos de  plástico
;;;Esta clase incluye la fabricación de productos plásticos, tales como planchas, láminas, películas, hojas y tiras, tubos, caños y mangueras  accesorios de caños y mangueras, planchas, láminas, hojas, cintas, tiras, revestimiento de plásticos, para pisos, paredes y techos en rollos y forma de losetas  y otros productos primarios de plástico.
;;;Fabricación de artículos plásticos: artículos sanitarios incluso tazas de inodoros, lavabos, etc. envases,    como bolsas, cajas, botellas, etc.  utensilios de cocina y artículos de tocador  artículos para obras de construcción, como puerta, ventanas y sus marcos y otros artículos como accesorios para aislamiento, piezas de lámparas, y accesorios para alumbrado, material escolar y de oficina, artículos de vestuario, accesorios para muebles, carrocerías de vehículos y artículos similares, estatuillas y otros artículos ornamentales.
;;;Excluye: La fabricación de calzado se incluye en la clase 2120 (Fabricación de calzado). La fabricación  de plásticos en formas primarias se incluye en la clase 2830 (Fabricación de plásticos en forma primaria y de caucho sintético).
;;;La fabricación de aparatos médicos, dentales y quirúrgicos se incluye en la clase 3711 (Fabricación de equipo médico y quirúrgico y de  aparatos ortopédicos).
;;;La fabricación de instrumentos científicos se incluye en la clase 3712 (Fabricación de instrumentos y aparatos de precisión).
;;;La fabricación de colchones de plástico celular no enfundados se incluye en la clase 3910 (Fabricación de muebles).
;;;La fabricación de accesorios deportivos se incluye en la clase 3930 (Fabricación de artículos deportivos).
;;;La fabricación de juegos y juguetes se incluye en la clase 3940 (Fabricación de juegos y juguetes).
;;;La fabricación de linóleo y recubrimientos duros para pisos se incluye en la clase 3990 (Otras industrias manufactureras n.c.p.)
;30;;FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS
;;3010;Fabricación de vidrio y de productos de vidrio
;;;En esta clase se incluye la fabricación de vidrio en todas sus formas y de artículos de vidrio:
;;;- Vidrio en masa y en otros estados, labrado o no, incluso láminas, planchas, tubos y varillas. Vidrio de   distintas características físicas incluso vidrio con armado de alambre y vidrio coloreado, teñido, endurecido     y laminado.
;;;-  Vidrio de diversa composición química, incluso cuarzo fundido y otros sílices fundidos.
